customer_id,signup_date,region,plan_tier
244,2025-08-03,West,Free
245,2023-11-12,South,Free
246,2024-08-20,North,Pro
247,2025-09-15,S,Free
248,2023-10-24,S,Enterprise
249,2025-11-06,East,Enterprise
250,2024-07-19,South,Pro
251,2025-11-05,North,Free
252,2024-08-02,North,Free
253,2025-09-29,East,Pro
254,2025-09-18,North,Free
255,2025-02-11,South,Free
256,2024-01-22,East,Basic
257,2024-04-23,S,Pro
258,2025-08-26,South,Basic
259,2023-11-08,South,Basic
260,2023-09-16,North,Free
261,2025-06-20,West,Basic
262,2025-07-24,West,Enterprise
263,2025-04-19,EAST,Free
264,2024-11-24,South,Free
265,2024-11-03,South,Pro
266,2025-09-26,West,Basic
267,2024-04-25,North,Basic
268,2023-07-05,South,Basic
269,2023-07-25,SOUTH,Free
270,2023-03-01,West,Free
271,2023-04-25,North,Basic
272,2025-06-01,EAST,Basic
273,2024-01-04,E,Pro
274,2025-02-22,East,Pro
275,2023-10-21,East,Free
276,2024-06-04,south,Free
277,2025-08-10,North,Basic
278,2023-11-20,West,Basic
279,2024-12-08,North,Basic
280,2025-05-18,North,Basic
281,2024-09-10,East,Pro
282,2025-09-16,W,Free
283,2025-01-05,North,Free
284,2024-08-27,West,Free
285,2025-03-21,N,Basic
286,2023-04-11,South,Free
287,2024-08-09,East,Free
288,2024-12-22,East,Free
289,2024-05-28,East,Free
290,2023-03-22,North,Basic
291,2023-03-10,North,Free
292,2023-07-04,North,Free
293,2025-04-30,E,Basic
294,2025-01-19,North,Free
295,2024-06-10,South,Free
296,2024-08-27,North,Free
297,2025-08-17,west,Basic
298,2025-03-24,NORTH,Free
299,2023-01-29,North,Basic
300,2025-07-20,North,Free
301,2024-06-20,South,Free
302,2025-01-30,West,Free
303,2025-08-23,West,Free
304,2024-11-02,East,Basic
305,2025-08-08,North,Basic
306,2023-08-27,east,Enterprise
307,2024-09-15,south,Free
308,2023-10-05,South,Free
309,2025-05-08,East,Basic
310,2023-07-22,South,Free
311,2024-07-26,West,Free
312,2024-03-20,South,Free
313,2024-04-28,N,Free
314,2025-01-22,NORTH,Enterprise
315,2024-01-24,West,Pro
316,2025-07-20,West,Basic
317,2023-02-13,West,Free
318,2024-05-13,East,Free
319,2024-02-25,West,Free
320,2024-02-29,East,Free
321,2024-04-22,North,Free
322,2023-01-06,North,Basic
323,2023-10-24,East,Basic
324,2023-12-24,West,Free
325,2023-02-22,east,Pro
326,2024-10-25,west,Basic
327,2023-09-17,South,Basic
328,2023-05-11,South,Basic
329,2025-01-11,West,Free
330,2024-03-29,West,Free
331,2025-12-03,North,Free
332,2023-03-05,West,Basic
333,2025-04-02,South,Free
334,2025-10-01,south,Free
335,2024-10-21,EAST,Free
336,2024-10-27,South,Free
337,2025-12-22,North,Pro
338,2025-05-31,West,Basic
339,2023-08-23,East,Free
340,2024-04-12,South,Free
341,2025-07-17,South,Free
342,2023-07-14,North,Free
343,2024-06-06,North,Free
344,2025-08-29,west,Free
345,2023-07-10,S,Free
346,2025-02-02,East,Basic
347,2024-11-06,West,Basic
348,2025-05-16,West,Free
349,2024-10-01,N,Free
350,2024-03-11,East,Basic
351,2024-04-04,West,Free
352,2025-01-22,West,Pro
353,2024-04-08,South,Basic
354,2023-02-23,NORTH,Free
355,2024-09-24,North,Free
356,2024-01-07,East,Basic
357,2025-03-31,W,Free
358,2023-03-04,West,Basic
359,2024-03-16,South,Pro
360,2024-11-29,East,Basic
361,2024-10-26,West,Free
362,2023-11-15,East,Basic
363,2023-04-12,W,Free
364,2025-05-18,South,Free
365,2025-04-28,N,Pro
366,2023-08-22,North,Free
367,2024-08-03,South,Enterprise
368,2024-09-23,W,Pro
369,2023-04-23,west,Free
370,2023-10-09,north,Free
371,2023-01-16,South,Free
372,2023-12-26,East,Free
373,2024-04-16,N,Free
374,2023-03-28,south,Basic
375,2024-10-03,South,Free
376,2025-05-05,north,Free
377,2024-10-27,East,Pro
378,2025-07-31,north,Free
379,2024-05-13,South,Basic
380,2025-12-09,West,Free
381,2024-09-27,north,Free
382,2023-06-06,West,Basic
383,2024-02-02,North,Basic
384,2023-10-30,EAST,Pro
385,2024-02-09,East,Basic
386,2023-06-04,East,Basic
387,2025-10-08,South,Free
388,2025-07-08,North,Free
389,2024-10-09,East,Basic
390,2025-08-18,South,Basic
391,2024-07-16,West,Enterprise
392,2023-06-01,North,Free
393,2023-03-19,West,Free
394,2024-08-10,West,Basic
395,2023-07-04,South,Free
396,2023-03-26,South,Pro
397,2024-01-21,North,Pro
398,2025-10-23,East,Free
399,2025-07-11,West,Basic
400,2024-12-04,West,Basic
401,2023-12-20,WEST,Free
402,2025-06-18,East,Pro
403,2024-08-02,South,Free
404,2024-11-23,West,Basic
405,2024-11-16,West,Free
406,2025-03-02,N,Pro
407,2023-11-04,N,Free
408,2023-10-17,North,Free
409,2025-03-13,East,Pro
410,2023-06-23,North,Free
411,2024-11-03,East,Free
412,2025-12-14,West,Pro
413,2025-05-17,NORTH,Pro
414,2024-01-05,East,Basic
415,2025-09-22,east,Basic
416,2023-11-14,west,Free
417,2025-11-05,West,Free
418,2023-09-26,south,Free
419,2023-12-06,SOUTH,Basic
420,2024-05-01,South,Basic
421,2025-07-08,East,Basic
422,2024-09-25,South,Basic
423,2024-02-02,North,Free
424,2025-06-21,South,Free
425,2025-02-21,South,Free
426,2024-02-13,East,Free
427,2023-04-17,South,Free
428,2023-07-30,west,Pro
429,2024-07-12,South,Free
430,2023-10-29,south,Free
431,2025-07-12,North,Free
432,2025-04-29,West,Basic
433,2025-02-04,East,Basic
434,2023-06-17,NORTH,Free
435,2023-07-22,North,Free
436,2023-10-09,WEST,Basic
437,2023-10-12,South,Free
438,2023-01-11,west,Basic
439,2023-11-03,SOUTH,Basic
440,2024-05-01,north,Free
441,2025-05-09,SOUTH,Free
442,2023-02-03,East,Enterprise
443,2024-08-19,SOUTH,Free
444,2024-05-07,S,Free
445,2023-06-25,N,Basic
446,2025-11-05,West,Pro
447,2025-08-20,West,Enterprise
448,2025-02-03,North,Basic
449,2025-01-01,West,Free
450,2023-08-01,NORTH,Free
451,2024-11-24,East,Basic
452,2025-08-09,South,Basic
453,2023-10-04,West,Free
454,2025-07-26,west,Pro
455,2024-02-13,West,Free
456,2024-09-27,South,Free
457,2025-08-27,N,Free
458,2024-01-27,North,Free
459,2023-04-08,NORTH,Free
460,2025-06-13,South,Free
461,2025-03-02,North,Free
462,2025-10-13,South,Basic
463,2025-11-29,North,Basic
464,2025-05-19,West,Basic
465,2024-01-05,North,Enterprise
466,2023-06-13,North,Free
467,2024-09-19,South,Free
468,2025-05-22,East,Pro
469,2024-12-20,SOUTH,Free
470,2025-06-09,North,Enterprise
471,2023-04-28,West,Free
472,2025-04-11,North,Enterprise
473,2023-11-24,W,Free
474,2025-06-16,west,Pro
475,2025-01-20,North,Free
476,2023-03-08,East,Enterprise
477,2025-01-29,North,Free
478,2023-06-07,East,Basic
479,2025-03-26,North,Enterprise
480,2024-05-26,west,Free
481,2025-10-19,South,Basic
482,2023-08-30,North,Basic
483,2025-07-02,East,Free
484,2024-08-07,south,Basic
485,2023-06-01,S,Basic
486,2025-06-30,West,Pro
487,2024-10-16,North,Free
488,2024-08-17,North,Free
489,2023-12-23,North,Pro
490,2023-09-06,East,Pro
491,2024-04-29,S,Free
492,2025-01-25,South,Basic
493,2023-09-23,WEST,Free
494,2025-09-07,South,Free
495,2023-06-01,East,Free
496,2023-06-01,South,Free
497,2025-11-25,N,Basic
498,2024-01-08,East,Free
499,2023-04-24,West,Enterprise
500,2024-09-14,E,Enterprise
501,2024-04-06,North,Basic
502,2025-11-28,North,Free
503,2024-05-28,East,Free
504,2024-07-16,East,Basic
505,2025-12-28,West,Basic
506,2023-12-12,E,Free
507,2024-11-22,West,Pro
508,2023-02-28,W,Basic
509,2024-06-26,East,Pro
510,2025-05-03,West,Basic
511,2024-08-16,North,Basic
512,2025-04-11,North,Free
513,2023-05-03,East,Pro
514,2025-09-18,S,Pro
515,2023-10-22,North,Free
516,2024-10-15,North,Free
517,2023-09-25,North,Free
518,2023-08-06,north,Basic
519,2024-07-01,south,Enterprise
520,2023-04-14,North,Free
521,2025-05-06,East,Basic
522,2023-11-24,North,Free
523,2024-10-02,East,Enterprise
524,2025-10-17,South,Pro
525,2024-09-23,SOUTH,Pro
526,2025-11-01,South,Free
527,2024-03-16,NORTH,Free
528,2025-10-10,south,Free
529,2023-08-09,SOUTH,Free
530,2025-01-19,South,Pro
531,2025-03-31,West,Basic
532,2024-02-03,North,Enterprise
533,2023-05-31,South,Enterprise
534,2024-07-26,west,Basic
535,2025-03-17,North,Basic
536,2024-11-25,North,Pro
537,2024-02-12,South,Pro
538,2023-04-03,WEST,Free
539,2025-08-28,S,Free
540,2023-10-14,North,Free
541,2024-10-14,East,Pro
542,2024-09-04,North,Basic
543,2025-11-09,South,Free
544,2024-09-05,South,Basic
545,2025-01-24,North,Basic
546,2025-05-03,North,Free
547,2023-02-24,S,Free
548,2024-04-11,West,Basic
549,2023-12-16,S,Free
550,2024-05-11,West,Basic
551,2023-08-14,EAST,Free
552,2025-05-07,East,Pro
553,2024-02-22,South,Basic
554,2025-08-23,West,Basic
555,2025-11-28,East,Pro
556,2025-09-06,South,Free
557,2023-12-21,South,Free
558,2024-12-02,North,Free
559,2024-06-25,south,Basic
560,2024-07-25,NORTH,Basic
561,2024-08-14,East,Basic
562,2025-09-28,North,Free
563,2024-07-14,N,Free
564,2025-02-16,South,Free
565,2023-10-27,N,Free
566,2023-06-11,North,Basic
567,2024-06-09,S,Free
568,2024-07-09,N,Free
569,2024-05-05,E,Pro
570,2024-04-07,EAST,Free
571,2024-11-07,south,Free
572,2023-01-11,East,Basic
573,2025-09-01,South,Free
574,2024-08-11,north,Basic
575,2023-07-03,East,Pro
576,2023-03-18,East,Pro
577,2023-12-27,West,Free
578,2025-03-24,S,Pro
579,2024-08-15,W,Free
580,2023-08-08,N,Free
581,2025-12-09,South,Free
582,2023-10-02,south,Enterprise
583,2024-11-08,East,Free
584,2024-06-10,EAST,Free
585,2024-08-27,E,Basic
586,2025-04-10,South,Free
587,2023-06-27,South,Free
588,2024-01-14,East,Free
589,2024-05-23,west,Free
590,2025-07-03,North,Free
591,2024-09-10,WEST,Free
592,2024-04-28,West,Basic
593,2025-08-11,N,Free
594,2025-10-26,North,Free
595,2024-08-27,North,Pro
596,2024-03-24,East,Free
597,2025-07-20,North,Basic
598,2025-08-22,East,Free
599,2023-06-17,South,Free
600,2025-01-10,West,Free
601,2023-08-18,West,Free
602,2025-11-01,East,Free
603,2023-11-03,East,Free
604,2025-12-01,south,Free
605,2025-09-28,West,Free
606,2025-07-01,West,Free
607,2025-11-17,South,Free
608,2023-04-29,South,Free
609,2024-09-23,West,Free
610,2023-01-07,East,Basic
611,2023-04-03,South,Free
612,2023-05-11,West,Basic
613,2023-05-22,SOUTH,Basic
614,2024-01-04,East,Free
615,2025-05-10,North,Pro
616,2025-02-22,South,Pro
617,2025-02-12,S,Free
618,2023-09-30,N,Free
619,2025-03-15,East,Basic
620,2024-04-01,West,Basic
621,2024-09-03,South,Free
622,2025-05-18,South,Free
623,2024-05-21,South,Free
624,2024-07-18,East,Free
625,2023-08-20,West,Basic
626,2025-05-08,west,Free
627,2023-07-26,West,Free
628,2023-04-10,East,Basic
629,2025-04-03,south,Free
630,2023-04-26,East,Free
631,2024-08-15,East,Basic
632,2024-10-15,north,Pro
633,2025-12-03,East,Free
634,2024-07-17,West,Free
635,2023-12-25,South,Free
636,2023-04-07,North,Free
637,2025-02-19,North,Free
638,2025-04-16,east,Free
639,2025-08-27,East,Free
640,2024-09-07,East,Free
641,2023-04-29,South,Free
642,2025-12-21,East,Free
643,2024-06-06,East,Free
644,2023-06-11,South,Free
645,2023-07-09,EAST,Free
646,2023-03-22,W,Pro
647,2024-03-20,SOUTH,Basic
648,2024-09-12,west,Basic
649,2023-08-29,South,Basic
650,2024-02-23,South,Free
651,2024-10-20,North,Free
652,2025-12-28,North,Free
653,2025-01-06,South,Basic
654,2025-08-19,North,Basic
655,2025-01-29,North,Free
656,2024-03-29,E,Free
657,2025-05-05,NORTH,Free
658,2024-04-16,South,Free
659,2024-05-18,South,Basic
660,2024-11-22,North,Basic
661,2025-09-27,South,Free
662,2024-12-22,E,Enterprise
663,2025-09-27,East,Basic
664,2023-05-01,West,Free
665,2023-06-02,West,Free
666,2025-04-24,East,Free
667,2024-04-18,West,Free
668,2023-01-19,East,Free
669,2025-02-03,West,Free
670,2025-09-16,S,Free
671,2025-04-22,W,Free
672,2024-07-16,N,Pro
673,2025-05-31,east,Free
674,2025-12-09,E,Free
675,2025-12-14,North,Free
676,2024-07-01,SOUTH,Enterprise
677,2025-07-29,East,Free
678,2024-04-07,North,Free
679,2023-06-15,WEST,Enterprise
680,2025-02-11,south,Pro
681,2023-12-17,West,Basic
682,2025-06-07,North,Free
683,2023-07-15,W,Free
684,2025-08-31,north,Basic
685,2024-07-28,WEST,Pro
686,2023-02-02,East,Basic
687,2025-03-26,W,Basic
688,2024-05-07,South,Free
689,2024-11-10,South,Basic
690,2023-10-14,West,Free
691,2024-12-09,west,Free
692,2023-06-05,North,Free
693,2025-03-23,NORTH,Free
694,2025-07-11,S,Free
695,2025-02-07,S,Free
696,2025-02-17,West,Basic
697,2024-08-27,East,Free
698,2023-06-18,N,Basic
699,2023-11-12,South,Free
700,2023-08-07,WEST,Free
701,2025-06-29,North,Free
702,2023-07-29,EAST,Free
703,2025-07-08,south,Free
704,2024-12-25,West,Free
705,2024-10-26,SOUTH,Free
706,2025-03-05,West,Enterprise
707,2024-05-12,East,Free
708,2023-12-14,EAST,Basic
709,2025-10-06,EAST,Free
710,2024-07-19,south,Basic
711,2025-01-09,North,Basic
712,2025-10-12,East,Basic
713,2023-10-05,NORTH,Free
714,2024-11-11,South,Free
715,2024-11-05,South,Free
716,2023-10-06,North,Pro
717,2024-02-16,South,Pro
718,2025-03-26,N,Enterprise
719,2025-10-02,East,Free
720,2024-07-28,South,Basic
721,2024-02-14,East,Pro
722,2023-02-25,South,Free
723,2024-03-05,South,Free
724,2023-05-22,South,Basic
725,2023-10-13,N,Basic
726,2023-11-12,South,Pro
727,2023-06-01,South,Free
728,2025-09-08,South,Basic
729,2025-05-06,West,Free
730,2025-01-06,west,Free
731,2024-12-28,East,Free
732,2023-04-01,South,Basic
733,2024-11-10,south,Basic
734,2024-06-13,East,Free
735,2025-11-28,East,Free
736,2025-03-12,South,Pro
737,2025-10-21,East,Free
738,2023-02-20,SOUTH,Basic
739,2023-06-25,West,Free
740,2023-10-18,North,Free
741,2025-07-21,East,Free
742,2024-12-14,S,Free
743,2025-07-15,north,Basic
744,2023-08-24,West,Free
745,2023-08-12,East,Free
746,2024-05-14,East,Pro
747,2024-11-08,South,Free
748,2024-04-19,South,Free
749,2024-01-17,South,Pro
750,2024-02-09,South,Basic
751,2025-03-07,West,Free
752,2024-02-26,North,Pro
753,2023-05-09,West,Basic
754,2024-01-18,North,Free
755,2025-07-26,WEST,Free
756,2025-12-16,North,Basic
757,2025-03-14,West,Basic
758,2025-07-26,East,Free
759,2024-09-01,West,Pro
760,2024-10-03,west,Basic
761,2024-01-10,North,Free
762,2025-11-12,South,Free
763,2023-10-10,South,Free
764,2025-09-23,East,Basic
765,2025-09-29,NORTH,Free
766,2025-07-12,West,Basic
767,2023-01-20,SOUTH,Basic
768,2025-11-01,South,Pro
769,2025-10-04,South,Free
770,2025-06-28,S,Basic
771,2023-03-05,EAST,Free
772,2024-04-05,NORTH,Pro
773,2025-10-11,West,Free
774,2024-07-02,North,Free
775,2023-03-27,South,Basic
776,2025-05-20,West,Free
777,2024-05-21,North,Free
778,2023-03-08,south,Basic
779,2025-06-18,West,Basic
780,2024-04-30,East,Basic
781,2024-12-19,south,Basic
782,2024-02-28,East,Free
783,2024-12-19,North,Free
784,2023-12-11,North,Free
785,2024-08-22,North,Free
786,2025-11-19,WEST,Pro
787,2023-05-02,North,Basic
788,2023-09-17,E,Free
789,2024-10-21,East,Free
790,2025-03-15,S,Pro
791,2024-07-04,South,Free
792,2023-06-04,West,Basic
793,2024-07-23,North,Free
794,2025-09-26,North,Basic
795,2023-07-10,South,Free
796,2025-01-03,West,Pro
797,2025-03-25,East,Pro
798,2024-03-09,SOUTH,Basic
799,2024-11-22,East,Basic
800,2025-09-20,North,Pro
