ticket_id,customer_id,created_at,status
68,629,2025-05-05,Pending
69,424,2025-12-24,Open
70,751,2025-06-14,Open
71,616,2025-05-24,Open
72,31,2025-10-27,Closed
73,747,2025-01-08,Closed
74,92,2023-12-30,Closed
75,588,2025-12-31,Pending
76,397,2025-03-13,Closed
77,714,2025-07-11,Open
78,352,2025-04-25,Open
79,319,2025-02-22,Open
80,725,2024-12-26,Closed
81,512,2025-05-27,Open
82,267,2025-06-10,Open
83,233,2025-02-08,Pending
84,649,2023-11-20,Closed
85,463,2025-12-05,Pending
86,264,2024-12-04,Pending
87,63,2023-06-01,Pending
88,383,2024-05-09,Open
89,2,2025-11-08,Open
90,5,2024-12-24,Closed
91,314,2025-02-05,Pending
92,577,2025-01-13,Open
93,177,2025-01-16,Pending
94,636,2024-08-29,Open
95,549,2024-07-26,Closed
96,100,2025-11-27,Open
97,615,2025-08-13,Pending
98,182,2025-04-03,Pending
99,791,2025-01-01,Pending
100,153,2025-12-30,Closed
101,32,2025-08-25,Pending
102,124,2025-01-26,Closed
103,111,2024-03-11,Pending
104,185,2025-09-22,Pending
105,172,2025-03-20,Closed
106,198,2025-07-16,Open
107,628,2025-11-07,Closed
108,466,2025-04-17,Pending
109,399,2025-11-02,Open
110,685,2024-10-03,Closed
111,253,2025-11-14,Open
112,246,2025-12-24,Closed
113,193,2025-08-25,Open
114,367,2024-10-02,Closed
115,676,2024-10-10,Pending
116,94,2025-09-11,Pending
117,329,2025-10-07,Pending
118,589,2025-11-18,Pending
119,404,2025-12-15,Pending
120,659,2024-12-09,Closed
121,329,2025-03-21,Closed
122,782,2024-09-17,Closed
123,642,2025-12-27,Closed
124,446,2025-11-29,Open
125,503,2024-06-21,Closed
126,107,2025-09-07,Pending
127,496,2025-02-14,Closed
128,314,2025-10-03,Closed
129,790,2025-04-12,Pending
130,43,2023-11-30,Open
131,315,2025-09-16,Pending
132,585,2025-05-31,Open
133,657,2025-07-24,Pending
134,50,2025-10-15,Open
135,49,2025-04-27,Closed
136,193,2025-07-03,Pending
137,54,2025-12-15,Pending
138,521,2025-09-17,Open
139,521,2025-08-08,Pending
140,716,2023-11-20,Open
141,102,2025-09-03,Open
142,227,2025-12-23,Closed
143,75,2024-12-13,Closed
144,212,2024-12-08,Pending
145,628,2023-04-25,Open
146,391,2025-02-11,Pending
147,120,2025-07-13,Open
148,247,2025-12-08,Closed
149,182,2025-02-10,Open
150,381,2025-11-29,Closed
151,46,2024-07-24,Open
152,614,2024-09-12,Pending
153,685,2025-04-18,Closed
154,697,2025-06-15,Pending
155,642,2025-12-25,Open
156,670,2025-12-19,Closed
157,420,2024-05-11,Closed
158,424,2025-09-25,Closed
159,195,2025-05-28,Closed
160,615,2025-05-12,Pending
161,710,2025-08-27,Open
162,713,2025-11-28,Closed
163,132,2024-04-12,Open
164,653,2025-03-05,Open
165,163,2025-11-10,Closed
166,69,2025-10-16,Pending
167,336,2025-01-20,Pending
168,263,2025-11-08,Closed
169,550,2025-02-28,Closed
170,584,2025-03-04,Open
171,780,2024-08-30,Closed
172,207,2024-10-28,Pending
173,510,2025-06-23,Open
174,531,2025-04-18,Closed
175,491,2024-08-18,Open
176,235,2024-11-12,Closed
177,189,2024-08-06,Pending
178,70,2024-01-02,Closed
179,631,2025-02-20,Closed
180,757,2025-05-26,Closed
181,612,2025-07-06,Open
182,679,2024-11-11,Open
183,787,2023-12-03,Pending
184,326,2024-11-16,Pending
185,15,2025-11-30,Open
186,350,2024-11-22,Open
187,359,2025-07-02,Open
188,660,2024-12-20,Closed
189,390,2025-09-26,Closed
190,518,2023-10-10,Open
191,189,2024-11-28,Closed
192,674,2025-12-23,Open
193,452,2025-08-26,Open
194,617,2025-11-09,Closed
195,571,2025-01-28,Open
196,561,2025-12-20,Closed
197,59,2025-01-21,Pending
198,67,2025-10-05,Pending
199,548,2024-04-28,Pending
200,738,2024-02-02,Pending
201,330,2025-04-12,Open
202,147,2023-09-10,Pending
203,240,2024-08-15,Closed
204,4,2025-10-20,Open
205,397,2025-08-23,Open
206,230,2025-08-29,Pending
207,559,2024-09-08,Open
208,665,2025-09-22,Closed
209,586,2025-10-24,Closed
210,703,2025-12-12,Closed
211,461,2025-07-01,Pending
212,503,2025-02-08,Closed
213,652,2025-12-31,Closed
214,157,2025-07-12,Pending
215,369,2023-12-08,Open
216,294,2025-12-11,Pending
217,179,2024-07-28,Closed
218,165,2024-09-02,Pending
219,22,2025-09-21,Closed
220,148,2025-01-11,Closed
221,421,2025-11-23,Open
222,412,2025-12-18,Pending
223,362,2024-06-15,Closed
224,432,2025-12-11,Closed
225,472,2025-11-28,Closed
226,398,2025-12-21,Closed
227,346,2025-07-18,Pending
228,409,2025-05-20,Pending
229,543,2025-11-22,Open
230,223,2025-11-14,Pending
231,200,2025-12-19,Pending
232,676,2025-07-08,Closed
233,562,2025-11-19,Closed
234,660,2025-04-28,Open
235,403,2024-12-24,Closed
236,112,2025-09-11,Pending
237,464,2025-08-03,Pending
238,423,2024-03-25,Open
239,223,2025-12-03,Pending
240,161,2025-12-19,Closed
241,530,2025-08-28,Open
242,454,2025-08-01,Pending
243,212,2024-06-02,Pending
244,684,2025-09-22,Closed
245,764,2025-12-19,Pending
246,788,2024-02-23,Pending
247,412,2025-12-20,Open
248,422,2025-03-06,Closed
249,252,2024-12-13,Closed
250,324,2025-09-09,Pending
251,544,2025-09-16,Pending
252,37,2025-06-28,Open
253,67,2025-04-22,Open
254,9,2024-01-08,Closed
255,93,2025-08-13,Closed
256,208,2025-09-30,Open
257,219,2025-02-13,Open
258,372,2025-09-24,Closed
259,598,2025-12-14,Closed
260,347,2025-11-01,Open
261,297,2025-11-02,Open
262,576,2023-08-28,Open
263,168,2025-04-11,Open
264,546,2025-12-22,Pending
265,420,2024-10-10,Pending
266,566,2025-03-15,Closed
267,717,2024-11-29,Pending
268,256,2024-05-17,Pending
269,151,2025-10-20,Open
270,774,2024-08-11,Open
271,391,2025-11-12,Closed
272,489,2024-06-14,Open
273,601,2025-07-22,Closed
274,452,2025-09-24,Closed
275,21,2025-10-01,Pending
276,581,2025-12-20,Closed
277,88,2025-06-10,Open
278,182,2024-05-25,Pending
279,308,2025-08-28,Closed
280,154,2023-10-10,Pending
281,202,2025-06-29,Closed
282,729,2025-11-24,Open
283,364,2025-10-19,Closed
284,17,2025-12-16,Closed
285,174,2025-11-15,Closed
286,197,2025-07-11,Closed
287,533,2025-12-11,Open
288,502,2025-12-18,Open
289,54,2025-10-26,Pending
290,314,2025-06-05,Closed
291,444,2025-04-17,Open
292,280,2025-11-25,Pending
293,470,2025-11-24,Open
294,341,2025-12-05,Open
295,134,2025-11-26,Pending
296,588,2024-02-02,Closed
297,390,2025-10-08,Closed
298,390,2025-11-25,Open
299,712,2025-11-15,Pending
300,385,2025-01-17,Closed
301,525,2025-12-04,Closed
302,417,2025-12-20,Closed
303,136,2025-12-28,Pending
304,268,2025-01-20,Open
305,501,2025-01-19,Closed
306,86,2025-01-05,Pending
307,87,2025-09-27,Closed
308,522,2024-03-19,Open
309,132,2023-08-19,Open
310,77,2024-08-22,Closed
311,67,2025-05-27,Pending
312,243,2023-07-26,Open
313,10,2025-11-25,Open
314,755,2025-10-21,Pending
315,73,2023-11-20,Pending
316,642,2025-12-28,Pending
317,339,2025-11-04,Pending
318,109,2025-05-30,Open
319,722,2023-12-06,Open
320,764,2025-10-03,Open
321,94,2025-11-06,Open
322,4,2025-06-09,Pending
323,239,2023-11-17,Open
324,735,2025-12-03,Closed
325,329,2025-11-27,Pending
326,198,2025-05-12,Open
327,726,2025-04-02,Pending
328,724,2023-11-28,Closed
329,295,2024-08-11,Closed
330,190,2025-10-11,Open
331,82,2023-11-17,Open
332,270,2023-12-20,Pending
333,590,2025-08-20,Pending
334,127,2024-07-12,Open
335,192,2025-04-21,Open
336,167,2025-08-28,Pending
337,607,2025-12-05,Pending
338,423,2025-07-04,Pending
339,293,2025-06-24,Closed
340,257,2025-04-11,Pending
341,247,2025-11-21,Open
342,671,2025-12-05,Pending
343,258,2025-11-06,Open
344,67,2025-04-10,Open
345,506,2024-11-28,Pending
346,62,2025-12-01,Closed
347,82,2025-04-10,Pending
348,457,2025-08-28,Pending
349,691,2025-01-23,Closed
350,603,2025-12-31,Closed
351,715,2025-10-19,Pending
352,695,2025-03-12,Pending
353,269,2025-08-07,Closed
354,462,2025-11-27,Pending
355,492,2025-08-02,Closed
356,308,2025-11-24,Closed
357,321,2025-11-02,Pending
358,195,2024-09-04,Pending
359,175,2025-02-01,Pending
360,362,2025-01-07,Closed
361,473,2024-10-21,Closed
362,475,2025-09-14,Closed
363,157,2025-02-02,Pending
364,769,2025-11-22,Closed
365,26,2025-05-31,Closed
366,391,2024-12-15,Closed
367,375,2024-10-10,Closed
368,678,2024-09-30,Open
369,608,2025-12-22,Open
370,223,2025-11-02,Open
371,401,2025-04-16,Open
372,278,2024-10-30,Open
373,23,2024-09-15,Closed
374,163,2024-06-28,Pending
375,285,2025-07-15,Open
376,499,2025-01-04,Pending
377,512,2025-11-18,Closed
378,164,2025-10-20,Pending
379,62,2025-09-24,Open
380,69,2025-11-03,Pending
381,489,2025-09-05,Closed
382,145,2025-03-08,Pending
383,507,2025-03-12,Closed
384,503,2024-06-10,Closed
385,647,2024-08-29,Closed
386,646,2024-02-03,Pending
387,634,2025-09-29,Pending
388,125,2025-08-18,Open
389,543,2025-11-27,Closed
390,743,2025-10-18,Pending
391,132,2025-02-06,Pending
392,485,2023-08-04,Open
393,458,2025-02-08,Closed
394,253,2025-10-25,Closed
395,705,2025-02-22,Closed
396,650,2025-06-24,Closed
397,569,2025-04-18,Pending
398,340,2024-10-28,Open
399,330,2025-11-05,Open
400,726,2025-07-11,Pending
401,243,2024-06-22,Closed
402,577,2025-04-21,Open
403,321,2025-09-27,Open
404,394,2025-08-29,Open
405,639,2025-10-07,Open
406,542,2025-05-13,Closed
407,618,2025-10-14,Closed
408,69,2025-11-19,Closed
409,797,2025-07-01,Closed
410,729,2025-06-11,Closed
411,797,2025-04-24,Closed
412,253,2025-10-27,Pending
413,4,2025-02-21,Closed
414,636,2024-08-13,Pending
415,150,2025-04-17,Closed
416,497,2025-12-15,Pending
417,550,2024-12-01,Pending
418,193,2024-11-08,Closed
419,752,2024-04-28,Pending
420,200,2025-05-16,Pending
421,290,2023-12-01,Closed
422,434,2025-06-03,Open
423,306,2024-05-20,Open
424,148,2025-05-21,Open
425,30,2025-06-10,Pending
426,781,2025-07-22,Open
427,378,2025-11-27,Open
428,458,2025-10-28,Closed
429,569,2024-10-12,Pending
430,455,2024-12-30,Open
431,281,2025-05-01,Closed
432,203,2025-11-24,Pending
433,465,2024-10-22,Open
434,601,2023-12-27,Closed
435,18,2025-03-21,Open
436,335,2025-07-30,Closed
437,378,2025-09-05,Closed
438,738,2025-03-29,Pending
439,27,2025-08-07,Pending
440,332,2025-05-23,Open
441,335,2025-08-30,Open
442,660,2025-04-15,Closed
443,580,2025-09-20,Pending
444,41,2025-12-17,Pending
445,58,2025-07-30,Pending
446,731,2025-03-05,Closed
447,66,2025-12-05,Open
448,144,2024-04-12,Open
449,536,2025-02-16,Pending
450,241,2025-09-30,Closed
451,366,2024-08-02,Open
452,423,2025-01-18,Open
453,505,2025-12-31,Pending
454,64,2025-10-18,Closed
455,658,2025-05-26,Pending
456,159,2024-10-29,Open
457,213,2025-06-03,Open
458,119,2025-09-22,Closed
459,233,2024-12-13,Open
460,661,2025-12-23,Pending
461,25,2024-11-01,Pending
462,715,2025-02-28,Closed
463,44,2024-01-17,Open
464,777,2025-01-14,Open
465,141,2025-12-10,Closed
466,331,2025-12-15,Pending
467,687,2025-10-14,Open
468,523,2025-10-28,Closed
469,505,2025-12-28,Pending
470,732,2025-03-14,Closed
471,564,2025-03-22,Open
472,205,2025-04-18,Open
473,236,2025-12-14,Open
474,358,2023-08-16,Pending
475,377,2025-07-14,Open
476,407,2024-06-08,Open
477,550,2024-05-18,Pending
478,763,2025-07-08,Closed
479,273,2025-07-26,Closed
480,524,2025-12-05,Open
481,207,2025-10-05,Pending
482,263,2025-10-07,Open
483,335,2025-03-03,Closed
484,123,2025-09-19,Closed
485,463,2025-11-30,Closed
486,618,2025-07-28,Pending
487,525,2025-10-22,Closed
488,210,2025-08-11,Open
489,43,2024-06-21,Open
490,761,2024-08-07,Open
491,778,2024-11-08,Pending
492,691,2025-03-28,Pending
493,311,2025-07-30,Closed
494,56,2025-11-13,Pending
495,236,2025-08-14,Open
496,524,2025-10-20,Closed
497,13,2025-06-04,Open
498,342,2024-02-10,Closed
499,738,2025-04-25,Pending
500,336,2025-06-18,Closed
501,617,2025-05-07,Closed
502,492,2025-11-08,Pending
503,293,2025-11-19,Pending
504,255,2025-03-22,Pending
505,110,2023-08-25,Open
506,635,2024-02-14,Open
507,281,2025-12-30,Open
508,311,2025-10-24,Closed
509,747,2025-08-25,Open
510,100,2024-02-21,Closed
511,221,2025-07-10,Open
512,434,2025-07-15,Closed
513,78,2024-07-08,Closed
514,670,2025-09-18,Closed
515,789,2024-11-07,Open
516,310,2023-12-14,Closed
517,468,2025-12-12,Open
518,124,2025-12-24,Pending
519,699,2023-12-13,Closed
520,179,2023-07-11,Open
521,89,2025-02-19,Closed
522,594,2025-11-29,Closed
523,24,2025-10-02,Pending
524,492,2025-02-26,Pending
525,709,2025-10-25,Open
526,67,2025-09-29,Pending
527,387,2025-10-11,Open
528,510,2025-08-21,Closed
529,423,2024-07-30,Open
530,591,2025-12-13,Open
531,673,2025-06-16,Closed
532,727,2024-03-15,Pending
533,491,2024-11-22,Closed
534,25,2025-09-14,Closed
535,193,2025-03-05,Pending
536,459,2025-07-15,Open
537,666,2025-05-05,Pending
538,446,2025-12-10,Pending
539,501,2024-11-29,Pending
540,761,2024-02-27,Closed
541,373,2024-07-15,Pending
542,377,2025-06-17,Closed
543,558,2025-02-23,Closed
544,675,2025-12-25,Pending
545,565,2025-05-02,Open
546,329,2025-12-04,Closed
547,417,2025-11-16,Pending
548,412,2025-12-25,Closed
549,356,2024-11-01,Open
550,689,2025-11-29,Closed
551,692,2024-12-11,Closed
552,369,2024-07-08,Open
553,617,2025-06-21,Open
554,341,2025-10-16,Pending
555,478,2024-09-10,Pending
556,697,2024-11-19,Open
557,352,2025-10-08,Pending
558,149,2025-10-08,Closed
559,554,2025-10-02,Pending
560,143,2025-09-27,Open
561,710,2025-08-28,Open
562,430,2024-02-20,Pending
563,558,2024-12-23,Pending
564,107,2025-03-29,Closed
565,564,2025-05-11,Pending
566,233,2025-07-29,Pending
567,343,2025-10-19,Open
568,334,2025-11-17,Pending
569,405,2025-08-10,Pending
570,403,2025-03-14,Pending
571,360,2025-12-17,Closed
572,705,2025-11-14,Open
573,232,2025-09-29,Pending
574,465,2024-06-12,Pending
575,772,2024-10-14,Pending
576,1,2025-11-06,Pending
577,111,2024-08-08,Open
578,74,2025-03-05,Open
579,774,2025-08-21,Closed
580,215,2025-05-24,Pending
581,99,2024-05-26,Open
582,17,2025-03-04,Closed
583,124,2024-10-11,Open
584,795,2025-06-05,Open
585,69,2025-10-25,Closed
586,122,2025-05-14,Closed
587,678,2025-05-24,Open
588,715,2025-09-06,Closed
589,352,2025-08-08,Closed
590,214,2024-09-24,Closed
591,635,2025-08-19,Closed
592,651,2025-08-30,Pending
593,43,2025-04-16,Closed
594,33,2025-11-12,Closed
595,360,2024-12-14,Closed
596,718,2025-11-23,Closed
597,771,2023-09-21,Closed
598,706,2025-12-30,Pending
599,360,2025-11-14,Closed
600,28,2025-09-01,Open
